T017	崔嘉鼎	讲师	4111	18045386734	04
T005	赵洪	讲师	4300	13203122701	01
T009	孙艳	讲师	4482	13203122056	02
T008	刘晓丽	讲师	4592	13203129634	02
T007	赵国翔	教授	6892	13203127246	02
T016	朱星洁	教授	6298	13932023023	03
T011	唐梦琪	讲师	3977	13903527661	02
T006	马惠香	讲师	4198	13203124928	01
T023	张文溪	讲师	4471	13342869223	05
T018	何移宸	副教授	5768	15642342908	04
T001	范林红	副教授	5100	13973100289	01
T019	晋浩天	教授	6245	13345932417	04
T012	王浩丞	副教授	5277	13902932132	02
T003	陈亮	教授	5977	13973103248	01
T010	姜志莲	副教授	5300	13203127532	02
T015	张佳豪	教授	6573	15691039322	03
T022	董澎博	副教授	5477	15822055343	05
T002	姜双	教授	6103	13973106898	01
T021	田朕宇	讲师	4235	15820665454	05
T004	黄文武	副教授	5300	13203125940	01
T014	陈嘉彬	讲师	4025	13812397670	03
T020	沈重衡	讲师	4372	13578943296	05
T013	卢尚勤	教授	6732	18601339432	03
